task,sub,condition,a,v,t,st,alpha
flanker,2276,congruent,2.7215428,4.159894,0.30224726,0.15770929,1.4770572
flanker,2277,congruent,3.0817807,2.6971128,0.2921353,0.1544128,1.5685686
flanker,2278,congruent,3.859013,3.5059714,0.3727293,0.18490809,1.4927505
flanker,2279,congruent,2.760969,4.7541065,0.29385698,0.12585907,1.4174417
flanker,2280,congruent,2.8897977,2.9904513,0.28305092,0.14536628,1.565858
flanker,2281,congruent,2.8510213,4.2311006,0.24794132,0.1307028,1.4736067
flanker,2282,congruent,2.3668218,1.8958886,0.2717292,0.14763784,1.5452648
flanker,2283,congruent,2.1096163,2.3785527,0.30108935,0.14636947,1.3978398
flanker,2284,congruent,2.6919978,2.4577327,0.24295455,0.14354268,1.5648434
flanker,2285,congruent,2.9034657,4.1342926,0.2704016,0.12129691,1.3782235
flanker,2286,congruent,2.6124377,4.4549446,0.26519746,0.11064242,1.2645133
flanker,2287,congruent,2.8477805,3.8916132,0.2694171,0.14673871,1.4176463
flanker,2288,congruent,2.8354523,4.044327,0.4032139,0.15772209,1.3298651
flanker,2289,congruent,2.7939942,3.9508104,0.30044097,0.15245032,1.4053929
flanker,2290,congruent,2.5763278,2.8871534,0.32415938,0.16172665,1.4687033
flanker,2291,congruent,1.7105951,1.6811932,0.34994143,0.14400561,1.4597026
flanker,23,congruent,1.7990391,4.3341026,0.22943941,0.09697986,1.2084825
flanker,24,congruent,1.9152671,4.8984966,0.22063471,0.10214948,1.4005644
flanker,25,congruent,1.8353226,4.6170864,0.2618824,0.10307036,1.2595488
flanker,26,congruent,1.7622585,5.707182,0.2503863,0.079400584,1.3755212
flanker,27,congruent,1.9556806,5.4125795,0.2604423,0.09568695,1.3912352
flanker,28,congruent,1.7499183,5.173261,0.26980203,0.09487859,1.3662273
flanker,29,congruent,1.9742115,5.794007,0.2203625,0.08085335,1.3887964
flanker,3,congruent,2.0857413,5.8492737,0.24364756,0.08262784,1.4046478
flanker,30,congruent,2.1397064,5.9073696,0.27598253,0.08764961,1.4117858
flanker,31,congruent,1.8959652,4.2424717,0.24463059,0.1143661,1.2260294
flanker,32,congruent,1.7996097,5.6171474,0.22354,0.078515984,1.333879
flanker,33,congruent,1.8887749,4.4976516,0.19416413,0.10595694,1.3849453
flanker,34,congruent,1.6697464,4.961281,0.26554736,0.09348073,1.3873875
flanker,35,congruent,1.6047573,4.1273966,0.22795826,0.10627187,1.3266041
flanker,36,congruent,1.2119467,3.109469,0.24238262,0.116285466,1.2445599
flanker,37,congruent,1.6945202,4.5917788,0.246748,0.12524527,1.3561513
flanker,38,congruent,1.6793792,4.456974,0.25882393,0.10195036,1.3010503
flanker,39,congruent,1.4049805,3.5460753,0.23408331,0.118353754,1.3229195
flanker,4,congruent,1.7779996,4.7669373,0.2442886,0.10689669,1.3929949
flanker,40,congruent,1.8496691,5.360723,0.25190702,0.084068574,1.3231143
flanker,41,congruent,2.062882,5.1824007,0.22872704,0.09492718,1.3514869
flanker,42,congruent,1.8270047,5.16846,0.27855182,0.0984273,1.3868978
flanker,43,congruent,2.0942223,5.4963636,0.2492116,0.08696272,1.3465633
flanker,44,congruent,1.922683,5.4078016,0.26253206,0.09211447,1.4239206
flanker,45,congruent,1.7448184,4.7486153,0.22922301,0.09277681,1.2992712
flanker,46,congruent,1.2607555,3.3365705,0.22522664,0.1107517,1.368981
flanker,47,congruent,1.4807217,4.2856846,0.28709614,0.10555248,1.3117886
flanker,48,congruent,1.8986734,4.5228276,0.22779737,0.10229563,1.2425432
flanker,49,congruent,1.5954689,4.2170258,0.18866172,0.09443669,1.3145435
flanker,5,congruent,2.145501,6.3134427,0.24036123,0.07897217,1.4332467
flanker,50,congruent,1.6991565,4.341134,0.24674423,0.10549394,1.2775444
flanker,51,congruent,2.1770093,6.1082063,0.23942214,0.07541185,1.3780469
flanker,52,congruent,1.8955224,5.1055703,0.23144116,0.08820596,1.3245102
flanker,53,congruent,1.7754531,5.057776,0.25775862,0.08939571,1.3736292
flanker,54,congruent,1.9764102,5.6754866,0.29154783,0.100772426,1.4577115
flanker,55,congruent,2.2753823,5.3554134,0.24745134,0.09104466,1.3139802
flanker,56,congruent,1.3841009,4.3631573,0.26757884,0.094069175,1.2797709
flanker,57,congruent,1.8066502,4.4782734,0.23081686,0.1126382,1.4214041
flanker,58,congruent,2.03517,5.3388834,0.23747122,0.09231333,1.3895285
flanker,6,congruent,1.7819688,4.2010517,0.22109696,0.10130761,1.2534659
flanker,7,congruent,1.4590961,4.1377916,0.2563688,0.09992411,1.3093824
flanker,7269,congruent,1.391128,3.0777133,0.21250993,0.11153624,1.3442851
flanker,7270,congruent,2.0275369,5.1927757,0.24371713,0.08838592,1.3881979
flanker,7271,congruent,2.579262,4.7348285,0.2317471,0.11092568,1.5038184
flanker,7272,congruent,1.9132893,3.170607,0.18454483,0.11280564,1.2351283
flanker,7273,congruent,1.8150215,3.8676758,0.20251492,0.10361125,1.3599321
flanker,7274,congruent,2.0500722,2.3626795,0.25146675,0.13731699,1.4409565
flanker,7275,congruent,2.406882,3.20119,0.27925247,0.16572574,1.3447461
flanker,7276,congruent,1.7694778,2.7514672,0.19732109,0.10989277,1.4309016
flanker,7277,congruent,2.0518465,3.6579387,0.2519918,0.11338689,1.321696
flanker,7278,congruent,2.0433426,3.3200119,0.1820683,0.11383263,1.3472126
flanker,7279,congruent,2.1417139,3.5235023,0.20611584,0.11562535,1.4868957
flanker,7280,congruent,1.9118488,4.2784963,0.22267634,0.09933791,1.4366513
flanker,7281,congruent,2.2824826,4.004217,0.24887833,0.12719268,1.427334
flanker,7282,congruent,1.9876828,2.974774,0.23779982,0.12340636,1.3572664
flanker,7283,congruent,2.1134624,2.5844367,0.2268299,0.12715572,1.4799854
flanker,7284,congruent,1.993629,3.7304869,0.22460556,0.11990565,1.3770884
flanker,7285,congruent,1.7837732,3.4149144,0.19560358,0.10259074,1.3060495
flanker,7286,congruent,1.8183653,2.9658308,0.17753842,0.11916669,1.3263568
flanker,7287,congruent,2.2761,3.007447,0.2128018,0.12259347,1.4594687
flanker,7288,congruent,2.6620739,4.3800907,0.18302898,0.10865552,1.3879606
flanker,7289,congruent,2.495951,3.067704,0.2607262,0.12967631,1.5026923
flanker,7290,congruent,1.2967956,2.2589157,0.21199419,0.11737761,1.3112447
flanker,7291,congruent,2.1293387,2.4041643,0.1825952,0.13774858,1.2684582
flanker,7292,congruent,2.2926176,3.6167717,0.2731064,0.13254166,1.3593273
flanker,7293,congruent,2.1785653,3.4735842,0.2090907,0.11294752,1.3991109
flanker,7294,congruent,2.100904,3.249733,0.22413771,0.12265,1.362184
flanker,7295,congruent,2.7690654,5.0364733,0.31866437,0.1144473,1.4411404
flanker,7296,congruent,1.9737115,4.136376,0.24664709,0.10506234,1.3638489
flanker,7297,congruent,2.3218646,3.64436,0.22500098,0.119610846,1.3801135
flanker,7298,congruent,2.018699,2.986537,0.21821177,0.11912847,1.3382617
flanker,7299,congruent,2.3493395,4.2814612,0.21843524,0.11470583,1.5296655
flanker,7300,congruent,1.9656019,5.650232,0.2376013,0.075697504,1.3336414
flanker,7301,congruent,2.3911886,3.8412433,0.2206679,0.12457669,1.4258811
flanker,7302,congruent,1.8723744,5.043353,0.22020626,0.08860231,1.355318
flanker,7303,congruent,1.9036354,3.8297393,0.20418233,0.110359624,1.3788255
flanker,7304,congruent,2.3595817,3.427906,0.2972492,0.14342344,1.4001073
flanker,7305,congruent,0.85326636,1.2815119,0.16737257,0.11053744,1.3482624
flanker,7306,congruent,1.9636211,2.3550563,0.22687986,0.12556612,1.4393524
flanker,7307,congruent,2.509961,4.2312818,0.24880339,0.121126354,1.430904
flanker,7308,congruent,2.627231,4.1215277,0.1822917,0.11338412,1.4536506
flanker,7309,congruent,2.4050353,3.418361,0.2699002,0.13735254,1.4681318
flanker,7310,congruent,1.9740412,4.3375745,0.23828007,0.10900375,1.3893373
flanker,7311,congruent,2.1258786,2.8644307,0.21823086,0.13111502,1.376752
flanker,7312,congruent,2.0202122,4.3620205,0.22299747,0.10447607,1.4040405
flanker,7313,congruent,2.4209309,3.7972488,0.2870003,0.12957501,1.399576
flanker,7314,congruent,2.6489942,4.519291,0.1933107,0.104101695,1.4219443
flanker,7315,congruent,1.8622639,2.7745526,0.22560413,0.13050908,1.3540637
flanker,7316,congruent,2.0060346,3.6248198,0.25611615,0.12091887,1.3607954
flanker,7317,congruent,1.9410417,3.3303049,0.23793796,0.115122035,1.3517491
flanker,7318,congruent,2.097848,3.9051948,0.22277418,0.106679216,1.3518902
flanker,7319,congruent,2.8571644,4.3237286,0.21034937,0.118358925,1.4747545
flanker,7320,congruent,2.4036996,3.5480974,0.28155577,0.12751818,1.4702761
flanker,7321,congruent,2.6249404,2.9864001,0.25293615,0.14200246,1.5001038
flanker,7322,congruent,1.4289038,2.9515781,0.21387568,0.110094786,1.3520162
flanker,7323,congruent,2.223734,4.17333,0.2159619,0.10700042,1.389007
flanker,7324,congruent,1.9019072,3.0159914,0.23033902,0.12606126,1.4146767
flanker,7325,congruent,2.138241,4.158738,0.19416565,0.10654771,1.4319117
flanker,7326,congruent,1.989216,2.8233995,0.24958263,0.1318548,1.3734324
flanker,7327,congruent,1.8781012,2.668217,0.23935011,0.124212585,1.4108678
flanker,7328,congruent,1.8828809,2.4698637,0.23700827,0.12977849,1.4140733
flanker,7329,congruent,1.971067,3.8969038,0.19321056,0.105476074,1.4475281
flanker,7330,congruent,2.0823102,3.4763443,0.20887725,0.11199818,1.4078422
flanker,7331,congruent,2.3028722,4.2080107,0.22726668,0.121299535,1.4806526
flanker,7332,congruent,2.2495203,2.665228,0.24789596,0.13409308,1.4397602
flanker,7333,congruent,2.4500153,4.6903386,0.24433152,0.105551384,1.4006708
flanker,7334,congruent,2.3854003,4.503932,0.24147677,0.108913034,1.4740437
flanker,7335,congruent,2.2492986,2.8837328,0.20802006,0.12556373,1.4223559
flanker,7336,congruent,2.0071096,2.4486809,0.23122023,0.15190367,1.1287689
