sub,a_pi,a_ni,v_pi,v_ni,t,st,alpha
75,2.627296,3.0855756,3.206202,3.4394443,0.46444318,0.27525508,1.9246938
76,1.6580606,2.8777187,4.650989,4.245208,0.45614254,0.13477606,2.0386014
77,2.204532,2.7704644,4.0388412,4.2554245,0.60247517,0.2957031,1.9889365
78,1.9482291,2.453713,4.822861,6.0207186,0.5027821,0.11698564,2.0076435
79,2.6805034,2.0897493,4.820204,3.940571,0.46585855,0.13672897,1.9682312
8,2.0390582,2.046136,4.8133655,5.484784,0.4311654,0.11228211,1.9278724
80,1.6733174,1.9293138,4.6441045,7.740065,0.4778338,0.07817526,1.8829969
81,1.5943236,2.3055885,6.1176305,4.6414638,0.5451937,0.24788079,1.9826417
82,2.3278098,2.734199,3.6878564,3.2224731,0.53456247,0.06592411,1.9956911
83,1.6190678,2.0816946,3.1840394,3.5961695,0.3236065,0.045661077,1.8843901
84,1.8938353,2.5826411,4.368291,5.197538,0.4674315,0.21896942,1.9304626
85,2.2995443,2.002515,3.9108,3.8335066,0.5277272,0.1257112,1.9400467
86,1.6005859,2.46566,4.3378882,6.341707,0.46346948,0.17911157,1.783978
87,2.2612228,2.3272867,4.4288087,5.2854824,0.44139522,0.14097464,1.9577566
88,1.5121809,2.1103492,5.197776,5.9411335,0.43949735,0.068702206,1.9775765
89,2.2731833,2.783619,3.2671297,4.676878,0.47796738,0.16681962,1.966312
9,2.0407379,3.0335975,4.0033054,6.969226,0.30589998,0.11582211,1.762569
90,2.1535125,2.473288,3.9308622,4.572776,0.5031226,0.11531865,1.9902666
91,2.1273956,2.4531243,4.398527,4.0982785,0.44822147,0.13675332,2.0040467
92,2.085535,1.6092899,4.4520187,4.481114,0.44647473,0.10490456,1.9134259
93,1.8909907,3.0537,4.206929,4.7211475,0.57236326,0.32115468,2.0043795
94,2.3039255,2.3719397,3.8332677,4.5259323,0.38826662,0.08205769,2.0122526
95,3.3605518,3.2654471,3.9945335,5.497765,0.32882866,0.2909683,1.5978012
96,2.0589871,2.468958,4.2216177,4.514313,0.44670635,0.16426359,1.9799261
97,2.598258,3.8701768,4.3927984,4.3839693,0.34481734,0.32839763,1.7308047
98,2.6063576,2.15795,3.8943152,4.3177366,0.56973946,0.15719585,1.973118
99,1.9251375,2.4911027,4.7183685,4.5756273,0.6282084,0.19840644,2.0129533
