task,sub,condition,a,v,t,st,alpha
sternberg,subject8,s1,2.4443784,5.057022,0.22689241,0.09615559,1.3542204
sternberg,subject80,s1,2.5552425,5.109327,0.26960903,0.102987796,1.4493868
sternberg,subject81,s1,2.0905619,3.3107295,0.27040523,0.12269686,1.5095631
sternberg,subject82,s1,2.703343,3.5578184,0.28096387,0.14164333,1.4434111
sternberg,subject83,s1,2.3724768,3.168726,0.24396348,0.13427669,1.5083894
sternberg,subject84,s1,2.233729,3.5380833,0.23440208,0.12519853,1.5256234
sternberg,subject85,s1,2.6586199,3.9908266,0.37616417,0.19639008,1.4729168
sternberg,subject86,s1,2.3484738,5.2192936,0.24799725,0.09769436,1.4096454
sternberg,subject87,s1,2.2015467,3.1610425,0.26734617,0.15629135,1.4802029
sternberg,subject88,s1,2.2730994,6.065519,0.27460748,0.08634572,1.4478544
sternberg,subject89,s1,2.8606725,2.9256835,0.2849776,0.16198424,1.5120217
sternberg,subject9,s1,1.963337,3.91074,0.22471681,0.12297484,1.430053
sternberg,subject90,s1,2.6073315,4.855131,0.28122967,0.1072973,1.4580395
sternberg,subject91,s1,2.7580538,3.7415333,0.27801988,0.15229031,1.4917884
sternberg,subject92,s1,2.0221364,3.4801178,0.26320082,0.11726787,1.3698932
sternberg,subject93,s1,2.430745,5.032916,0.25109184,0.1079826,1.4841231
sternberg,subject94,s1,2.5455263,4.0189195,0.22432877,0.12846935,1.5723156
sternberg,subject95,s1,2.2080112,3.136412,0.22345194,0.13462527,1.4530276
sternberg,subject96,s1,2.3472896,2.7640414,0.24357316,0.14317144,1.559341
sternberg,subject97,s1,2.2810924,2.9577453,0.234032,0.13568224,1.522556
sternberg,subject98,s1,2.951702,2.709353,0.39576423,0.24874109,1.3444027
sternberg,subject99,s1,2.5680733,3.250484,0.2708603,0.1888873,1.6034658
sternberg,subject1,s3,3.6036038,2.751769,0.43925557,0.2037408,1.5784595
sternberg,subject10,s3,2.8151035,3.3982658,0.53357863,0.1715584,1.4201959
sternberg,subject100,s3,2.836465,3.7456284,0.52923274,0.23269492,1.4042808
sternberg,subject101,s3,2.2687297,4.61058,0.30168116,0.12707014,1.4428033
